"Time [s]","LVDT # 2 (195619) []","LVDT #1 (195620) []","LVDT #3 (196487) []","LVDT #4 (196488) []","LVDT #5 (194513) []","LVDT #6 (194512) []","LVDT #7 (198068) []","LVDT #8 (198067) []","channel 1 [mA]","channel 2 [mA]","channel 3 [mA]","channel 4 [mA]","channel 5 [mA]","channel 6 [mA]","channel 7 [mA]","channel 8 [mA]"
0.079,-0.060330517154,-0.032961530171,-0.091027369541,-0.135872040656,-0.172867265582,-0.225818433407,-0.281610024028,-0.388233898071,-0.267449855804,-0.489099502563,-0.370299339294,-0.553950309753,-0.466050148010,-0.614000320435,-0.571949958801,-0.786950111389
0.180,-0.060342868924,-0.032715060483,-0.090462151061,-0.134204221702,-0.172941550303,-0.224052785556,-0.281019318814,-0.388579234503,-0.265450000763,-0.489199638367,-0.368000030518,-0.547150611877,-0.466250419617,-0.609199523926,-0.570750236511,-0.787650108337
0.281,-0.060281227708,-0.032591884407,-0.091347136446,-0.137269920890,-0.173201193088,-0.225523808021,-0.281610024028,-0.387987128372,-0.264450550079,-0.488699913025,-0.371600151062,-0.559649467468,-0.466950416565,-0.613199234009,-0.571949958801,-0.786449909210
0.382,-0.060305931248,-0.032690378254,-0.090855295562,-0.134449365357,-0.172236552932,-0.224531201064,-0.281216064032,-0.388727202225,-0.265249729156,-0.488900184631,-0.369599342346,-0.548150062561,-0.464349746704,-0.610500335693,-0.571149826050,-0.787950038910
0.484,-0.060293579478,-0.033023235743,-0.090683221583,-0.136902205407,-0.173423693513,-0.228061795279,-0.281019318814,-0.388135331337,-0.267950534821,-0.488800048828,-0.368899345398,-0.558150291443,-0.467550277710,-0.620100021362,-0.570750236511,-0.786750316620
0.584,-0.060355220694,-0.033084823781,-0.090560378578,-0.135234386453,-0.173423693513,-0.224972437655,-0.281265367727,-0.388233898071,-0.268450260162,-0.489299774170,-0.368399620056,-0.551350593567,-0.467550277710,-0.611700057983,-0.571249961853,-0.786950111389
0.685,-0.060256524167,-0.032653472445,-0.091027369541,-0.137024777234,-0.172088337228,-0.227289455873,-0.281019318814,-0.388480667769,-0.264950275421,-0.488499641418,-0.370299339294,-0.558650016785,-0.463950157166,-0.618000030518,-0.570750236511,-0.787450313568
0.786,-0.060342868924,-0.032616449102,-0.091224059008,-0.133811711154,-0.173683336298,-0.226259669998,-0.281462582504,-0.388233898071,-0.264649868011,-0.489199638367,-0.371099472046,-0.545550346375,-0.468250274658,-0.615200042725,-0.571650505066,-0.786950111389
0.887,-0.060367572465,-0.032801330751,-0.091396132988,-0.134866203138,-0.171865836803,-0.224861602390,-0.281560720334,-0.388135331337,-0.266149997711,-0.489399909973,-0.371799468994,-0.549849510193,-0.463350296021,-0.611398696899,-0.571849822998,-0.786750316620
0.988,-0.060305931248,-0.033072482667,-0.090830914508,-0.135651224233,-0.171939767787,-0.227178620608,-0.281363975115,-0.388431266781,-0.268350124359,-0.488900184631,-0.369500160217,-0.553050041199,-0.463549613953,-0.617698669434,-0.571450233459,-0.787350177765
1.089,-0.060318283019,-0.032949189056,-0.090658840528,-0.137073899532,-0.173609051577,-0.224310232024,-0.281610024028,-0.387987128372,-0.267349720001,-0.489000320435,-0.368800163269,-0.558850288391,-0.468050003052,-0.609899520874,-0.571949958801,-0.786449909210
1.190,-0.060305931248,-0.032641131331,-0.091469979450,-0.134571937185,-0.171939767787,-0.226774562935,-0.281068622508,-0.388579234503,-0.264850139618,-0.488900184631,-0.372099876404,-0.548649787903,-0.463549613953,-0.616600036621,-0.570850372314,-0.787650108337
1.291,-0.060379924235,-0.032690378254,-0.090953757512,-0.134571937185,-0.171902979163,-0.223795339087,-0.281610024028,-0.388332700047,-0.265249729156,-0.489500045776,-0.369999885559,-0.548649787903,-0.463450431824,-0.608499526978,-0.571949958801,-0.787150382996
1.392,-0.060293579478,-0.032838354094,-0.091273289983,-0.135921162953,-0.173683336298,-0.227105665751,-0.281216064032,-0.388233898071,-0.266450405121,-0.488800048828,-0.371299743652,-0.554150581360,-0.468250274658,-0.617500305176,-0.571149826050,-0.786950111389
1.493,-0.060342868924,-0.033121729591,-0.090437535574,-0.135847713423,-0.172051194867,-0.227620558688,-0.281314671421,-0.388480667769,-0.268749713898,-0.489199638367,-0.367899894714,-0.553851127625,-0.463850021362,-0.618900299072,-0.571350097656,-0.787450313568
1.594,-0.060355220694,-0.032530178835,-0.090806299020,-0.137172144127,-0.173386551152,-0.223243968721,-0.281363975115,-0.388233898071,-0.263949871063,-0.489299774170,-0.369400024414,-0.559250831604,-0.467450141907,-0.607000350952,-0.571450233459,-0.786950111389
1.695,-0.060293579478,-0.032678154674,-0.090634225041,-0.134449365357,-0.173275124072,-0.227289455873,-0.281363975115,-0.388480667769,-0.265150547028,-0.488800048828,-0.368700027466,-0.548150062561,-0.467149734497,-0.618000030518,-0.571450233459,-0.787450313568
1.796,-0.060318283019,-0.032739742713,-0.091494594938,-0.137073899532,-0.172385122373,-0.223537892618,-0.281216064032,-0.388233898071,-0.265650272369,-0.489000320435,-0.372200012207,-0.558850288391,-0.464750289917,-0.607799530029,-0.571149826050,-0.786950111389
1.897,-0.060268875937,-0.033146411820,-0.090535763091,-0.136092857078,-0.173052623647,-0.227804348810,-0.281265367727,-0.388184497082,-0.268949985504,-0.488599777222,-0.368299484253,-0.554850578308,-0.466549873352,-0.619400024414,-0.571249961853,-0.786849975586
1.997,-0.060330517154,-0.032764424942,-0.091322520958,-0.136853083109,-0.172904407943,-0.224126441902,-0.281363975115,-0.388233898071,-0.265850543976,-0.489099502563,-0.371500015259,-0.557950019836,-0.466150283813,-0.609399795532,-0.571450233459,-0.786950111389
2.099,-0.060268875937,-0.032530178835,-0.090412920086,-0.133787383921,-0.172867265582,-0.227363112219,-0.281314671421,-0.388135331337,-0.263949871063,-0.488599777222,-0.367799758911,-0.545451164246,-0.466050148010,-0.618200302124,-0.571350097656,-0.786750316620
2.200,-0.060330517154,-0.032702719369,-0.091396132988,-0.136730511281,-0.172533338077,-0.226700906589,-0.281462582504,-0.388184497082,-0.265349864960,-0.489099502563,-0.371799468994,-0.557450294495,-0.465149879456,-0.616399765015,-0.571650505066,-0.786849975586
2.301,-0.060305931248,-0.033010894629,-0.090707837070,-0.135528652405,-0.173089766007,-0.224714991186,-0.281265367727,-0.388480667769,-0.267850399017,-0.488900184631,-0.368999481201,-0.552550315857,-0.466650009155,-0.611000061035,-0.571249961853,-0.787450313568
2.402,-0.060268875937,-0.033035459323,-0.091445363963,-0.136975654937,-0.173201193088,-0.227178620608,-0.281462582504,-0.388085930349,-0.268049716949,-0.488599777222,-0.371999740601,-0.558449745178,-0.466950416565,-0.617698669434,-0.571650505066,-0.786650180817
2.503,-0.060318283019,-0.032604107987,-0.090486766549,-0.134621059482,-0.172125479588,-0.225008915084,-0.281413278810,-0.388431266781,-0.264549732208,-0.489000320435,-0.368100166321,-0.548850059509,-0.464050292969,-0.611799240112,-0.571550369263,-0.787350177765
2.605,-0.060256524167,-0.032715060483,-0.091150446979,-0.137588981907,-0.173534766857,-0.225707598143,-0.280920711425,-0.388233898071,-0.265450000763,-0.488499641418,-0.370800018311,-0.560950279236,-0.467849731445,-0.613698959351,-0.570549964905,-0.786950111389
2.705,-0.060342868924,-0.032788989636,-0.090412920086,-0.135773796061,-0.173534766857,-0.224788647533,-0.281610024028,-0.388283299059,-0.266049861908,-0.489199638367,-0.367799758911,-0.553549766541,-0.467849731445,-0.611200332642,-0.571949958801,-0.787050247192
2.806,-0.060293579478,-0.033047800438,-0.091445363963,-0.135724673764,-0.171976910147,-0.225376495328,-0.280970015120,-0.388529833515,-0.268149852753,-0.488800048828,-0.371999740601,-0.553349494934,-0.463649749756,-0.612798690796,-0.570650100708,-0.787549972534
2.907,-0.060355220694,-0.032924624361,-0.090855295562,-0.134302466296,-0.173571909217,-0.228650344562,-0.281216064032,-0.388085930349,-0.267150402069,-0.489299774170,-0.369599342346,-0.547551155090,-0.467949867249,-0.621700286865,-0.571149826050,-0.786650180817
3.008,-0.060318283019,-0.032616449102,-0.091469979450,-0.134571937185,-0.171865836803,-0.224016308127,-0.281659327723,-0.388036529360,-0.264649868011,-0.489000320435,-0.372099876404,-0.548649787903,-0.463350296021,-0.609100341797,-0.572050094604,-0.786550045013
3.109,-0.060305931248,-0.032776648522,-0.090535763091,-0.136902205407,-0.171791552082,-0.228723299420,-0.281117926203,-0.388283299059,-0.265949726105,-0.488900184631,-0.368299484253,-0.558150291443,-0.463150024414,-0.621898651123,-0.570950508118,-0.787050247192
3.210,-0.060330517154,-0.032850695209,-0.091125831491,-0.135994612483,-0.173609051577,-0.223831816516,-0.281511416639,-0.388085930349,-0.266550540924,-0.489099502563,-0.370699882507,-0.554450035095,-0.468050003052,-0.608598709106,-0.571749687195,-0.786650180817
3.312,-0.060268875937,-0.032899942132,-0.091199443521,-0.135111814625,-0.171902979163,-0.226296147427,-0.281216064032,-0.388332700047,-0.266950130463,-0.488599777222,-0.370999336243,-0.550850868225,-0.463450431824,-0.615299224854,-0.571149826050,-0.787150382996
3.412,-0.060330517154,-0.032517837720,-0.091420748475,-0.133738261624,-0.172014052507,-0.224016308127,-0.281462582504,-0.388431266781,-0.263849735260,-0.489099502563,-0.371899604797,-0.545250892639,-0.463749885559,-0.609100341797,-0.571650505066,-0.787350177765
3.513,-0.060281227708,-0.032641131331,-0.090830914508,-0.136607939454,-0.173460835873,-0.226333326345,-0.281363975115,-0.388135331337,-0.264850139618,-0.488699913025,-0.369500160217,-0.556950569153,-0.467650413513,-0.615400314331,-0.571450233459,-0.786750316620
3.614,-0.060355220694,-0.032813671865,-0.090707837070,-0.134964447733,-0.172162621948,-0.227730692463,-0.281068622508,-0.388480667769,-0.266250133514,-0.489299774170,-0.368999481201,-0.550250053406,-0.464150428772,-0.619199752808,-0.570850372314,-0.787450313568
3.715,-0.060342868924,-0.033060141552,-0.090486766549,-0.137147349062,-0.173312266432,-0.224788647533,-0.281216064032,-0.388332700047,-0.268249988556,-0.489199638367,-0.368100166321,-0.559149742126,-0.467249870300,-0.611200332642,-0.571149826050,-0.787150382996
3.816,-0.060293579478,-0.032727401598,-0.091150446979,-0.134571937185,-0.173015481287,-0.227325933301,-0.281216064032,-0.388480667769,-0.265550136566,-0.488800048828,-0.370800018311,-0.548649787903,-0.466449737549,-0.618099212646,-0.571149826050,-0.787450313568
23.615,-0.355038819925,-0.195902205466,-0.542428758409,-0.795033155249,-1.031509669669,-1.318756908825,-1.646504150947,-2.276739112015,-1.589550495148,-2.878299713135,-2.206600189209,-3.241350173950,-2.780950069427,-3.585700035095,-3.344049930573,-4.614950180054
23.716,-0.354940123397,-0.195421489671,-0.543338124848,-0.794027551647,-1.030619491102,-1.318903870774,-1.645814838344,-2.277380383891,-1.585649967194,-2.877499580383,-2.210299491882,-3.237250328064,-2.778550148010,-3.586099624634,-3.342649936676,-4.616250038147
23.818,-0.355001882250,-0.195803594084,-0.542404142922,-0.793880418670,-1.032251455664,-1.322765567803,-1.645962749427,-2.276936480725,-1.588750362396,-2.878000259399,-2.206500053406,-3.236650466919,-2.782949924469,-3.596599578857,-3.342950344086,-4.615350246429
23.918,-0.355001882250,-0.195840499893,-0.543215281844,-0.793487908123,-1.032325740384,-1.318793386254,-1.645864142038,-2.276985881713,-1.589049816132,-2.878000259399,-2.209799766541,-3.235050201416,-2.783150196075,-3.585799217224,-3.342750072479,-4.615450382233
24.019,-0.355026468155,-0.195667959359,-0.542330296459,-0.796455830548,-1.030433956169,-1.322618605855,-1.645962749427,-2.276837678748,-1.587649822235,-2.878199577332,-2.206199645996,-3.247150421143,-2.778049945831,-3.596199989319,-3.342950344086,-4.615149974823
24.120,-0.354964826938,-0.195532442168,-0.543264512819,-0.793512469271,-1.031991812879,-1.318646424305,-1.646405778337,-2.276936480725,-1.586550235748,-2.877699851990,-2.210000038147,-3.235150337219,-2.782249927521,-3.585399627686,-3.343850135803,-4.615350246429
24.221,-0.354964826938,-0.195803594084,-0.542625213443,-0.794346378748,-1.030879133887,-1.319345107364,-1.646011818342,-2.276985881713,-1.588750362396,-2.877699851990,-2.207399368286,-3.238550186157,-2.779250144958,-3.587299346924,-3.343050003052,-4.615450382233
24.322,-0.355051171696,-0.195976134618,-0.543338124848,-0.793610479950,-1.031509669669,-1.318609596132,-1.646356474643,-2.276788513003,-1.590150356293,-2.878399848938,-2.210299491882,-3.235549926758,-2.780950069427,-3.585299491882,-3.343750000000,-4.615050315857
24.423,-0.354952475168,-0.195458513015,-0.542330296459,-0.795351982351,-1.030767883674,-1.319455591884,-1.646110425730,-2.277084448447,-1.585950374603,-2.877599716187,-2.206199645996,-3.242650032043,-2.778950214386,-3.587599754333,-3.343250274658,-4.615650177002
24.525,-0.355001882250,-0.195655618244,-0.543117054327,-0.792923703450,-1.032288598024,-1.322103712917,-1.645765769429,-2.277035047459,-1.587549686432,-2.878000259399,-2.209400177002,-3.232749938965,-2.783050060272,-3.594799995422,-3.342550277710,-4.615550041199
24.626,-0.355014116384,-0.195754229626,-0.542379527434,-0.793855857522,-1.032362705876,-1.319381935538,-1.646110425730,-2.276837678748,-1.588349819183,-2.878099441528,-2.206399917603,-3.236550331116,-2.783249855042,-3.587399482727,-3.343250274658,-4.615149974823
24.727,-0.355001882250,-0.195803594084,-0.543362740336,-0.795597359922,-1.030396813809,-1.321735781929,-1.645716465734,-2.276985881713,-1.588750362396,-2.878000259399,-2.210399627686,-3.243650436401,-2.777949810028,-3.593799591064,-3.342450141907,-4.615450382233
24.827,-0.354952475168,-0.195594030206,-0.542526985926,-0.794738889296,-1.031954670518,-1.319234973589,-1.646356474643,-2.276936480725,-1.587049961090,-2.877599716187,-2.206999778748,-3.240150451660,-2.782149791718,-3.586999893188,-3.343750000000,-4.615350246429
24.928,-0.354977178709,-0.195766570740,-0.543166050869,-0.795548237624,-1.030990384099,-1.319565725660,-1.646258102034,-2.276739112015,-1.588449954987,-2.877799987793,-2.209599494934,-3.243450164795,-2.779550075531,-3.587899208069,-3.343550205231,-4.614950180054
25.029,-0.355063523466,-0.195976134618,-0.542305680972,-0.792727682092,-1.031546812029,-1.319565725660,-1.646258102034,-2.276936480725,-1.590150356293,-2.878499984741,-2.206099510193,-3.231950759888,-2.781050205231,-3.587899208069,-3.343550205231,-4.615350246429
25.131,-0.354964826938,-0.195569347977,-0.543264512819,-0.795769054047,-1.030730741314,-1.319308279191,-1.646159494645,-2.276739112015,-1.586849689484,-2.877699851990,-2.210000038147,-3.244350433350,-2.778850078583,-3.587199211121,-3.343349933624,-4.614950180054
25.233,-0.355001882250,-0.195520101053,-0.542699059906,-0.793487908123,-1.032251455664,-1.321367850940,-1.645814838344,-2.277084448447,-1.586450099945,-2.878000259399,-2.207699775696,-3.235050201416,-2.782949924469,-3.592799186707,-3.342649936676,-4.615650177002
25.333,-0.355001882250,-0.195667959359,-0.543387355823,-0.795229410523,-1.032325740384,-1.318977527120,-1.646159494645,-2.276985881713,-1.587649822235,-2.878000259399,-2.210499763489,-3.242150306702,-2.783150196075,-3.586299896240,-3.343349933624,-4.615450382233
25.434,-0.355026468155,-0.195939111275,-0.542379527434,-0.794150123475,-1.030433956169,-1.321037098870,-1.645864142038,-2.277232416169,-1.589849948883,-2.878199577332,-2.206399917603,-3.237750053406,-2.778049945831,-3.591899871826,-3.342750072479,-4.615950107574
25.534,-0.354964826938,-0.195631053549,-0.543043207864,-0.795867064726,-1.031843420306,-1.320522205932,-1.646159494645,-2.277084448447,-1.587350368500,-2.877699851990,-2.209099769592,-3.244750022888,-2.781849861145,-3.590499877930,-3.343349933624,-4.615650177002
25.636,-0.354989530479,-0.195704982702,-0.542404142922,-0.795744492898,-1.031101634311,-1.318720080652,-1.646208798339,-2.276739112015,-1.587950229645,-2.877900123596,-2.206500053406,-3.244250297546,-2.779850006104,-3.585599899292,-3.343450069427,-4.614950180054
25.736,-0.355038819925,-0.195902205466,-0.543313509361,-0.793316213997,-1.031658062242,-1.320889786176,-1.645962749427,-2.277084448447,-1.589550495148,-2.878299713135,-2.210199356079,-3.234350204468,-2.781350135803,-3.591499328613,-3.342950344086,-4.615650177002
25.838,-0.354977178709,-0.195680300473,-0.542502370439,-0.794788011593,-1.030693598954,-1.318205187714,-1.646258102034,-2.276788513003,-1.587749958038,-2.877799987793,-2.206899642944,-3.240350723267,-2.778749942780,-3.584199905396,-3.343550205231,-4.615050315857
25.940,-0.355014116384,-0.195396807442,-0.542797287422,-0.794886022273,-1.032214313303,-1.321367850940,-1.646011818342,-2.276887079737,-1.585449695587,-2.878099441528,-2.208099365234,-3.240750312805,-2.782849788666,-3.592799186707,-3.343050003052,-4.615250110626
26.040,-0.354989530479,-0.195581689091,-0.542281065484,-0.796333258720,-1.032399848236,-1.317947741246,-1.646307405728,-2.277084448447,-1.586949825287,-2.877900123596,-2.205999374390,-3.246650695801,-2.783349990845,-3.583499908447,-3.343650341034,-4.615650177002
26.141,-0.355038819925,-0.196000699313,-0.543166050869,-0.793340775146,-1.030508240889,-1.321331373511,-1.646011818342,-2.277035047459,-1.590349674225,-2.878299713135,-2.209599494934,-3.234450340271,-2.778250217438,-3.592700004578,-3.343050003052,-4.615550041199
26.242,-0.354940123397,-0.195667959359,-0.542797287422,-0.795965309321,-1.031917705027,-1.321147232645,-1.646061122036,-2.276936480725,-1.587649822235,-2.877499580383,-2.208099365234,-3.245150566101,-2.782050132751,-3.592199325562,-3.343150138855,-4.615350246429
26.342,-0.354952475168,-0.195643394664,-0.543338124848,-0.794567195171,-1.031250026884,-1.317727122950,-1.646208798339,-2.276985881713,-1.587450504303,-2.877599716187,-2.210299491882,-3.239450454712,-2.780250072479,-3.582900047302,-3.343450069427,-4.615450382233
26.444,-0.355038819925,-0.195754229626,-0.542404142922,-0.794812338826,-1.031732170094,-1.321147232645,-1.646061122036,-2.277084448447,-1.588349819183,-2.878299713135,-2.206500053406,-3.240449905396,-2.781549930573,-3.592199325562,-3.343150138855,-4.615650177002
26.545,-0.354964826938,-0.195754229626,-0.542969361402,-0.793487908123,-1.030582348741,-1.317579810257,-1.646159494645,-2.277133849435,-1.588349819183,-2.877699851990,-2.208799362183,-3.235050201416,-2.778450012207,-3.582499504089,-3.343349933624,-4.615750312805
26.647,-0.355014116384,-0.195335219404,-0.542993976889,-0.796014197703,-1.032214313303,-1.321956400224,-1.646061122036,-2.276640310038,-1.584949970245,-2.878099441528,-2.208899497986,-3.245349884033,-2.782849788666,-3.594399452209,-3.343150138855,-4.614749908447
26.747,-0.354989530479,-0.195520101053,-0.543362740336,-0.796333258720,-1.032362705876,-1.317653466604,-1.646159494645,-2.277232416169,-1.586450099945,-2.877900123596,-2.210399627686,-3.246650695801,-2.783249855042,-3.582699775696,-3.343349933624,-4.615950107574
26.847,-0.355051171696,-0.195976134618,-0.542625213443,-0.794076673944,-1.030471098529,-1.321846266449,-1.646110425730,-2.276837678748,-1.590150356293,-2.878399848938,-2.207399368286,-3.237450599670,-2.778150081635,-3.594099998474,-3.343250274658,-4.615149974823
26.949,-0.354964826938,-0.195717323817,-0.542748290881,-0.794788011593,-1.031806454814,-1.320816480574,-1.646258102034,-2.277035047459,-1.588050365448,-2.877699851990,-2.207900047302,-3.240350723267,-2.781750202179,-3.591300010681,-3.343550205231,-4.615550041199
27.050,-0.354989530479,-0.195544783282,-0.542305680972,-0.793169081021,-1.031250026884,-1.317874084899,-1.646061122036,-2.277183015181,-1.586650371552,-2.877900123596,-2.206099510193,-3.233750343323,-2.780250072479,-3.583299636841,-3.343150138855,-4.615849971771
27.151,-0.355051171696,-0.195594030206,-0.543166050869,-0.795842503577,-1.031843420306,-1.320705996054,-1.646208798339,-2.276887079737,-1.587049961090,-2.878399848938,-2.209599494934,-3.244649887085,-2.781849861145,-3.590999603271,-3.343450069427,-4.615250110626
27.252,-0.355001882250,-0.195865182122,-0.542871133885,-0.792972825747,-1.030545206381,-1.318131531368,-1.646011818342,-2.277429784879,-1.589250087738,-2.878000259399,-2.208399772644,-3.232950210571,-2.778349876404,-3.583999633789,-3.343050003052,-4.616350173950
27.354,-0.355026468155,-0.195285972481,-0.542526985926,-0.795842503577,-1.032251455664,-1.321625297409,-1.646110425730,-2.276788513003,-1.584550380707,-2.878199577332,-2.206999778748,-3.244649887085,-2.782949924469,-3.593499183655,-3.343250274658,-4.615050315857
27.454,-0.355001882250,-0.195458513015,-0.542477754951,-0.795082277546,-1.032399848236,-1.318535939785,-1.646110425730,-2.277281817157,-1.585950374603,-2.878000259399,-2.206799507141,-3.241550445557,-2.783349990845,-3.585099220276,-3.343250274658,-4.616050243378
27.555,-0.355063523466,-0.195889864351,-0.542969361402,-0.795499115327,-1.030545206381,-1.321184060818,-1.646061122036,-2.276837678748,-1.589450359344,-2.878499984741,-2.208799362183,-3.243249893188,-2.778349876404,-3.592299461365,-3.343150138855,-4.615149974823
27.656,-0.354964826938,-0.195729664931,-0.543117054327,-0.793463346974,-1.031769312454,-1.320742824228,-1.646258102034,-2.277084448447,-1.588150501251,-2.877699851990,-2.209400177002,-3.234950065613,-2.781650066376,-3.591099739075,-3.343550205231,-4.615650177002
27.757,-0.354952475168,-0.195470854129,-0.543362740336,-0.792653998646,-1.031361277096,-1.318903870774,-1.646258102034,-2.277133849435,-1.586050510406,-2.877599716187,-2.210399627686,-3.231650352478,-2.780550003052,-3.586099624634,-3.343550205231,-4.615750312805
27.858,-0.355051171696,-0.195470854129,-0.542674444418,-0.795572798773,-1.032028955239,-1.321073927043,-1.646307405728,-2.276739112015,-1.586050510406,-2.878399848938,-2.207599639893,-3.243550300598,-2.782350063324,-3.592000007629,-3.343650341034,-4.614950180054
