"Time [s]","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
0.062,,,,,0.001967460582,,,,,0.001478876890,,,,,0.001868432719,,,,,-0.000625490587,,,,,0.005155359602,,,,,0.001157228140,,,,,-0.000073866240,,,,,0.011999607086,,,,,0.015950202942,,,,,0.007600784302,,,,,-0.002550125122,,,,,0.013898849487,,,,,0.000000000000,,,,,0.002350330353,,,,,-0.000149726868
0.164,,,,,0.000709226897,,,,,0.001688440768,,,,,0.001843582798,,,,,-0.001238583641,,,,,0.004821432097,,,,,0.001009317057,,,,,0.000962143057,,,,,0.013700008392,,,,,0.005749702454,,,,,0.007499694824,,,,,-0.005049705505,,,,,0.012998580933,,,,,0.000000000000,,,,,0.002049922943,,,,,0.001950263977
0.264,,,,,0.001079309468,,,,,0.002082768761,,,,,0.001843582798,,,,,0.001704777635,,,,,0.004116788462,,,,,0.001501884442,,,,,0.000419202672,,,,,0.016899585724,,,,,0.008749961853,,,,,0.007499694824,,,,,0.006950378418,,,,,0.011098861694,,,,,0.000000000000,,,,,0.003050327301,,,,,0.000849723816
0.366,,,,,0.000228096028,,,,,0.001910228226,,,,,0.001229367777,,,,,0.000552041056,,,,,0.003041428699,,,,,0.001895844437,,,,,-0.000271470193,,,,,0.015499591827,,,,,0.001849174500,,,,,0.005001068115,,,,,0.002250671387,,,,,0.008199691772,,,,,0.000000000000,,,,,0.003850460052,,,,,-0.000550270081
0.467,,,,,0.002078508881,,,,,0.001676099654,,,,,0.001081674851,,,,,-0.000576368289,,,,,0.000111073344,,,,,0.000911179227,,,,,-0.001356409992,,,,,0.013599872589,,,,,0.016850471497,,,,,0.004400253296,,,,,-0.002349853516,,,,,0.000299453735,,,,,0.000000000000,,,,,0.001850605011,,,,,-0.002749443054
0.567,,,,,0.000413254949,,,,,0.001602170501,,,,,0.000811138922,,,,,-0.001238583641,,,,,-0.000519285570,,,,,0.000073955542,,,,,-0.001208677513,,,,,0.013000011444,,,,,0.003350257874,,,,,0.003299713135,,,,,-0.005049705505,,,,,-0.001399993896,,,,,0.000000000000,,,,,0.000150203705,,,,,-0.002449989319
0.669,,,,,0.001116247143,,,,,0.002107450990,,,,,0.000663914863,,,,,0.000085847063,,,,,-0.001001782516,,,,,-0.000418142284,,,,,-0.000813469607,,,,,0.017099857330,,,,,0.009049415588,,,,,0.002700805664,,,,,0.000349998474,,,,,-0.002700805664,,,,,0.000000000000,,,,,-0.000849246979,,,,,-0.001648902893
0.769,,,,,0.000647585681,,,,,0.002045862952,,,,,0.000466990963,,,,,0.000429235313,,,,,-0.000556781667,,,,,-0.000073485983,,,,,-0.002145884833,,,,,0.016600131989,,,,,0.005249977112,,,,,0.001899719238,,,,,0.001749992371,,,,,-0.001501083374,,,,,0.000000000000,,,,,-0.000149250031,,,,,-0.004349708557
0.870,,,,,0.001819474609,,,,,0.001762369921,,,,,0.000516221938,,,,,-0.002195064946,,,,,0.000333220032,,,,,0.000320004454,,,,,-0.003428428586,,,,,0.014299869537,,,,,0.014750480652,,,,,0.002099990845,,,,,-0.008949279785,,,,,0.000898361206,,,,,0.000000000000,,,,,0.000649929047,,,,,-0.006949424744
0.971,,,,,0.000141751271,,,,,0.001626852730,,,,,0.000442609909,,,,,-0.001508288445,,,,,0.001075359763,,,,,-0.000122789677,,,,,-0.003428428586,,,,,0.013200283051,,,,,0.001149177551,,,,,0.001800537109,,,,,-0.006149291992,,,,,0.002899169922,,,,,0.000000000000,,,,,-0.000249385834,,,,,-0.006949424744
1.072,,,,,0.000487130300,,,,,0.002132133219,,,,,0.000466990963,,,,,0.001361389385,,,,,0.001743214774,,,,,-0.000861405974,,,,,-0.002786686224,,,,,0.017300128937,,,,,0.003949165344,,,,,0.001899719238,,,,,0.005550384521,,,,,0.004699707031,,,,,0.000000000000,,,,,-0.001749515533,,,,,-0.005648612976
1.172,,,,,0.001091543602,,,,,0.002193721257,,,,,0.000442609909,,,,,0.001287705939,,,,,0.002484647032,,,,,-0.001107454887,,,,,-0.002194815336,,,,,0.017799854279,,,,,0.008849143982,,,,,0.001800537109,,,,,0.005249977112,,,,,0.006698608398,,,,,0.000000000000,,,,,-0.002249240875,,,,,-0.004448890686
1.274,,,,,0.001523267389,,,,,0.001984157379,,,,,0.000418228855,,,,,-0.002097054267,,,,,0.002410362312,,,,,-0.000270700760,,,,,-0.002688825219,,,,,0.016099452972,,,,,0.012349128723,,,,,0.001701354980,,,,,-0.008549690247,,,,,0.006498336792,,,,,0.000000000000,,,,,-0.000549793243,,,,,-0.005450248718
1.376,,,,,0.002078508881,,,,,0.001540582463,,,,,0.000418228855,,,,,-0.002219626095,,,,,0.001780003398,,,,,0.000369308149,,,,,-0.003230824633,,,,,0.012500286102,,,,,0.016850471497,,,,,0.001701354980,,,,,-0.009049415588,,,,,0.004798889160,,,,,0.000000000000,,,,,0.000750064850,,,,,-0.006548881531
1.476,,,,,0.000228096028,,,,,0.001799393264,,,,,0.000466990963,,,,,0.000870868158,,,,,0.000296431408,,,,,-0.000762798585,,,,,-0.003428428586,,,,,0.014600276947,,,,,0.001849174500,,,,,0.001899719238,,,,,0.003550529480,,,,,0.000799179077,,,,,0.000000000000,,,,,-0.001549243927,,,,,-0.006949424744
1.577,,,,,0.001486329714,,,,,0.002119792104,,,,,0.000466990963,,,,,0.001018001134,,,,,-0.000519285570,,,,,-0.001304669664,,,,,-0.002244686810,,,,,0.017199993134,,,,,0.012049674988,,,,,0.001899719238,,,,,0.004150390625,,,,,-0.001399993896,,,,,0.000000000000,,,,,-0.002649784088,,,,,-0.004549980164
1.598,0.001061993462,0.001238001052,0.000141751271,0.002078508881,,0.001931231628,0.001943695371,0.001540582463,0.002193721257,,0.000476977818,0.000481791250,0.000418228855,0.000663914863,,-0.000296698676,0.001480389770,-0.002219626095,0.001361389385,,0.000804538897,0.001453584002,-0.001001782516,0.002484647032,,-0.000423213521,0.000689919700,-0.001304669664,0.000369308149,,-0.002639047842,0.002753513836,-0.003428428586,-0.000813469607,,0.015670012683,0.015771145001,0.012500286102,0.017799854279,,0.008609580807,0.010036474094,0.001149177551,0.016850471497,,0.001940345741,0.001959926914,0.001701354980,0.002700805664,,-0.001209640526,0.006035549100,-0.009049415588,0.005550384521,,0.002169036772,0.003918862436,-0.002700805664,0.006698608398,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-0.000859546650,0.001401226968,-0.002649784088,0.000750064850,,-0.005349350162,0.005581372418,-0.006949424744,-0.001648902893,
1.678,,,,,0.001116247143,,,,,0.002156697913,,,,,0.000442609909,,,,,-0.001017767219,,,,,-0.001224636678,,,,,-0.001156758581,,,,,-0.001998152354,,,,,0.017499446869,,,,,0.009049415588,,,,,0.001800537109,,,,,-0.004149436951,,,,,-0.003301620483,,,,,0.000000000000,,,,,-0.002349376678,,,,,-0.004050254822
1.779,,,,,-0.011810762926,,,,,-0.000936690592,,,,,-0.020231117541,,,,,-0.037711421619,,,,,-0.001632141430,,,,,-0.000418142284,,,,,-0.002638953745,,,,,-0.007600307465,,,,,-0.095749855042,,,,,-0.082300186157,,,,,-0.153749465942,,,,,-0.004400253296,,,,,0.000000000000,,,,,-0.000849246979,,,,,-0.005349159241
1.880,,,,,-0.029474500518,,,,,-0.004966710923,,,,,-0.045673216573,,,,,-0.083529425802,,,,,-0.106231395144,,,,,-0.153446479245,,,,,-0.216304344324,,,,,-0.040299892426,,,,,-0.238949775696,,,,,-0.185798645020,,,,,-0.340549468994,,,,,-0.286399841309,,,,,0.000000000000,,,,,-0.311649799347,,,,,-0.438448905945
1.981,,,,,-0.049518953641,,,,,-0.010722254132,,,,,-0.077802288614,,,,,-0.142960388169,,,,,-0.177485299040,,,,,-0.259157825960,,,,,-0.355081600571,,,,,-0.087000370026,,,,,-0.401450157166,,,,,-0.316499710083,,,,,-0.582849502563,,,,,-0.478500366211,,,,,0.000000000000,,,,,-0.526349544525,,,,,-0.719750404358
2.083,,,,,-0.106482025256,,,,,-0.025622445667,,,,,-0.114921037192,,,,,-0.212374170943,,,,,-0.261684553560,,,,,-0.386484381837,,,,,-0.520053613227,,,,,-0.207900524139,,,,,-0.863249778748,,,,,-0.467498779297,,,,,-0.865849494934,,,,,-0.705501556396,,,,,0.000000000000,,,,,-0.784949779510,,,,,-1.054148674011
2.183,,,,,-0.142142645334,,,,,-0.035383326977,,,,,-0.213691970240,,,,,-0.394910522790,,,,,-0.483011987160,,,,,-0.724888974842,,,,,-0.723705188241,,,,,-0.287100315094,,,,,-1.152350425720,,,,,-0.869298934937,,,,,-1.610050201416,,,,,-1.302200317383,,,,,0.000000000000,,,,,-1.472249507904,,,,,-1.466950416565
2.284,,,,,-0.186573257719,,,,,-0.046955883900,,,,,-0.276450210616,,,,,-0.508474256877,,,,,-0.619510514800,,,,,-0.932717663733,,,,,-1.242599524944,,,,,-0.381000041962,,,,,-1.512549400330,,,,,-1.124599456787,,,,,-2.073049545288,,,,,-1.670200347900,,,,,0.000000000000,,,,,-1.894349575043,,,,,-2.518749237061
2.384,,,,,-0.227525611540,,,,,-0.058183359753,,,,,-0.338987146038,,,,,-0.624392820334,,,,,-0.754154754322,,,,,-1.138133758515,,,,,-1.513245897335,,,,,-0.472099781036,,,,,-1.844550132751,,,,,-1.378999710083,,,,,-2.545649528503,,,,,-2.033201217651,,,,,0.000000000000,,,,,-2.311549663544,,,,,-3.067349433899
2.486,,,,,-0.306173686668,,,,,-0.078999293917,,,,,-0.455703003920,,,,,-0.835724662910,,,,,-0.881899358257,,,,,-1.328680328640,,,,,-1.760112986402,,,,,-0.641000270844,,,,,-2.482150077820,,,,,-1.853799819946,,,,,-3.407249450684,,,,,-2.377600669861,,,,,0.000000000000,,,,,-2.698549747467,,,,,-3.567749023438
2.586,,,,,-0.350185044673,,,,,-0.090670462221,,,,,-0.521189578046,,,,,-0.951839481641,,,,,-1.151038914123,,,,,-1.719620590548,,,,,-2.293512394232,,,,,-0.735700130463,,,,,-2.838950157166,,,,,-2.120199203491,,,,,-3.880649566650,,,,,-3.103200912476,,,,,0.000000000000,,,,,-3.492549419403,,,,,-4.648949623108
2.598,-0.140877024113,0.183835236755,-0.350185044673,0.001116247143,,-0.035028373017,0.047016840366,-0.090670462221,0.002156697913,,-0.206420695887,0.271672715589,-0.521189578046,0.000442609909,,-0.379293491830,0.498271182111,-0.951839481641,-0.001017767219,,-0.443787355451,0.583073702113,-1.151038914123,-0.001224636678,,-0.664470490419,0.874833778531,-1.719620590548,-0.000418142284,,-0.862925265538,1.147137741591,-2.293512394232,-0.001998152354,,-0.284220218658,0.381494641304,-0.735700130463,0.017499446869,,-1.142090082169,1.490352272987,-2.838950157166,0.009049415588,,-0.839719414711,1.105164647102,-2.120199203491,0.001800537109,,-1.546379566193,2.031451702118,-3.880649566650,-0.004149436951,,-1.196450710297,1.571966648102,-3.103200912476,-0.003301620483,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-1.349539518356,1.776787400246,-3.492549419403,-0.000849246979,,-1.749149560928,2.325248241425,-4.648949623108,-0.004050254822,
2.687,,,,,-0.395664263554,,,,,-0.102674370480,,,,,-0.588495353916,,,,,-1.070358018124,,,,,-1.296402438812,,,,,-1.937690830653,,,,,-2.581918657149,,,,,-0.833099842072,,,,,-3.207650184631,,,,,-2.393999099731,,,,,-4.363849639893,,,,,-3.495100975037,,,,,0.000000000000,,,,,-3.935450077057,,,,,-5.233549118042
2.788,,,,,-0.489003299211,,,,,-0.127273855287,,,,,-0.656686349604,,,,,-1.193585979433,,,,,-1.442025606286,,,,,-2.154184761216,,,,,-2.875308303570,,,,,-1.032700061798,,,,,-3.964349746704,,,,,-2.671400070190,,,,,-4.866250038147,,,,,-3.887701034546,,,,,0.000000000000,,,,,-4.375149250031,,,,,-5.828249931335
2.889,,,,,-0.530362673278,,,,,-0.139105223011,,,,,-0.790339069498,,,,,-1.434351200855,,,,,-1.732826586647,,,,,-2.377375542149,,,,,-3.168894612971,,,,,-1.128699779510,,,,,-4.299650192261,,,,,-3.215099334717,,,,,-5.847849845886,,,,,-4.671700477600,,,,,0.000000000000,,,,,-4.828449726105,,,,,-6.423349380493
2.990,,,,,-0.569378269488,,,,,-0.149889123948,,,,,-0.845476823805,,,,,-1.532364452999,,,,,-1.851557977829,,,,,-2.768315804057,,,,,-3.673975962868,,,,,-1.216200351715,,,,,-4.615949630737,,,,,-3.439399719238,,,,,-6.247449874878,,,,,-4.991800308228,,,,,0.000000000000,,,,,-5.622449398041,,,,,-7.447149276733
3.091,,,,,-0.600696948155,,,,,-0.158540832899,,,,,-0.893633156986,,,,,-1.620394884736,,,,,-1.953895084936,,,,,-2.921097622547,,,,,-3.872397149438,,,,,-1.286400318146,,,,,-4.869850158691,,,,,-3.635299682617,,,,,-6.606349945068,,,,,-5.267701148987,,,,,0.000000000000,,,,,-5.932749271393,,,,,-7.849349021912
3.192,,,,,-0.661977257640,,,,,-0.175388217237,,,,,-0.982571257720,,,,,-1.781738941828,,,,,-2.048924697967,,,,,-3.063244399386,,,,,-4.058879763844,,,,,-1.423099994659,,,,,-5.366649627686,,,,,-3.997099876404,,,,,-7.264149665833,,,,,-5.523900985718,,,,,0.000000000000,,,,,-6.221449375153,,,,,-8.227349281311
3.293,,,,,-0.690989213762,,,,,-0.184409689486,,,,,-1.027703871300,,,,,-1.858118617245,,,,,-2.232900712893,,,,,-3.339660161825,,,,,-4.415910115781,,,,,-1.496300220490,,,,,-5.601849555969,,,,,-4.180699348450,,,,,-7.575549602509,,,,,-6.019900321960,,,,,0.000000000000,,,,,-6.782849788666,,,,,-8.951049804688
3.394,,,,,-0.723973146361,,,,,-0.193492749773,,,,,-1.072836719314,,,,,-1.936239795063,,,,,-2.328672465655,,,,,-3.480132726071,,,,,-4.590207153079,,,,,-1.570000171661,,,,,-5.869250297546,,,,,-4.364299774170,,,,,-7.894049644470,,,,,-6.278100967407,,,,,0.000000000000,,,,,-7.068149566650,,,,,-9.304349899292
3.496,,,,,-0.787473833633,,,,,-0.211313789279,,,,,-1.120599673561,,,,,-2.024613615050,,,,,-2.430267433031,,,,,-3.628729600028,,,,,-4.772644061788,,,,,-1.714600086212,,,,,-6.384050369263,,,,,-4.558599472046,,,,,-8.254349708557,,,,,-6.552000999451,,,,,0.000000000000,,,,,-7.369949817657,,,,,-9.674149513245
3.596,,,,,-0.814660198079,,,,,-0.219829981040,,,,,-1.206956664604,,,,,-2.175950407543,,,,,-2.610608448968,,,,,-3.906179096592,,,,,-4.947680937697,,,,,-1.783700466156,,,,,-6.604450225830,,,,,-4.909899711609,,,,,-8.871349811554,,,,,-7.038200378418,,,,,0.000000000000,,,,,-7.933449745178,,,,,-10.028949260712
3.598,-0.626417910316,0.639186265137,-0.814660198079,-0.395664263554,,-0.166191783244,0.169964411415,-0.219829981040,-0.102674370480,,-0.918529894031,0.938120409941,-1.206956664604,-0.588495353916,,-1.662771591288,1.697396270965,-2.175950407543,-1.070358018124,,-1.992808145302,2.033147505566,-2.610608448968,-1.296402438812,,-2.957661054452,3.021878382781,-3.906179096592,-1.937690830653,,-3.895781671819,3.972047340069,-4.947680937697,-2.581918657149,,-1.348480105400,1.379091262817,-1.783700466156,-0.833099842072,,-5.078370094299,5.181882858276,-6.604450225830,-3.207650184631,,-3.736579656601,3.816273927689,-4.909899711609,-2.393999099731,,-6.779119968414,6.920284748077,-8.871349811554,-4.363849639893,,-5.372610569000,5.481365680695,-7.038200378418,-3.495100975037,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-6.007009506226,6.137434959412,-7.933449745178,-3.935450077057,,-7.896749496460,8.051340103149,-10.028949260712,-5.233549118042,
3.697,,,,,-0.835938063711,,,,,-0.225757947249,,,,,-1.236405930571,,,,,-2.226722980206,,,,,-2.669955927116,,,,,-4.001255401656,,,,,-5.219116784930,,,,,-1.831799983978,,,,,-6.776949882507,,,,,-5.029699325562,,,,,-9.078349590302,,,,,-7.198201179504,,,,,0.000000000000,,,,,-8.126549720764,,,,,-10.579149723053
3.798,,,,,-0.849062584472,,,,,-0.229196416823,,,,,-1.255530757773,,,,,-2.261601565719,,,,,-2.707529846214,,,,,-4.062456781790,,,,,-5.294153592712,,,,,-1.859699726105,,,,,-6.883350372314,,,,,-5.107499122620,,,,,-9.220549583435,,,,,-7.299500465393,,,,,0.000000000000,,,,,-8.250849723816,,,,,-10.731249332428
3.899,,,,,-0.874978363462,,,,,-0.236923835064,,,,,-1.291494453903,,,,,-2.324515532886,,,,,-2.740541976001,,,,,-4.115386410689,,,,,-5.360951962351,,,,,-1.922399997711,,,,,-7.093449592590,,,,,-5.253799438477,,,,,-9.477049827576,,,,,-7.388501167297,,,,,0.000000000000,,,,,-8.358349800110,,,,,-10.866649627686
4.000,,,,,-0.888386622036,,,,,-0.241348300922,,,,,-1.313544538755,,,,,-2.361454447900,,,,,-2.826446949198,,,,,-4.243796004385,,,,,-5.528194068039,,,,,-1.958300113678,,,,,-7.202150344849,,,,,-5.343499183655,,,,,-9.627649784088,,,,,-7.620100975037,,,,,0.000000000000,,,,,-8.619149684906,,,,,-11.205649375916
4.101,,,,,-0.903126989647,,,,,-0.244343078045,,,,,-1.331637156514,,,,,-2.397363198163,,,,,-2.863798367871,,,,,-4.297857974798,,,,,-5.599728345753,,,,,-1.982599735260,,,,,-7.321650505066,,,,,-5.417099952698,,,,,-9.774049758911,,,,,-7.720800399780,,,,,0.000000000000,,,,,-8.728949546814,,,,,-11.350649356842
4.203,,,,,-0.915202903912,,,,,-0.248336192567,,,,,-1.343510261093,,,,,-2.418604264342,,,,,-2.887537288383,,,,,-4.332865476021,,,,,-5.645263589070,,,,,-2.014999866486,,,,,-7.419549942017,,,,,-5.465399742126,,,,,-9.860649585724,,,,,-7.784800529480,,,,,0.000000000000,,,,,-8.800049781799,,,,,-11.442949295044
4.303,,,,,-0.915868958431,,,,,-0.248841473055,,,,,-1.351917270597,,,,,-2.430377709447,,,,,-2.901891926276,,,,,-4.358960982322,,,,,-5.669240005862,,,,,-2.019099712372,,,,,-7.424949645996,,,,,-5.499599456787,,,,,-9.908649921417,,,,,-7.823500633240,,,,,0.000000000000,,,,,-8.853049755096,,,,,-11.491549491882
4.403,,,,,-0.916658413018,,,,,-0.248681273636,,,,,-1.352015732547,,,,,-2.431579568324,,,,,-2.900593712351,,,,,-4.357927013418,,,,,-5.676048167774,,,,,-2.017799854279,,,,,-7.431349754333,,,,,-5.500000000000,,,,,-9.913549900055,,,,,-7.820000648499,,,,,0.000000000000,,,,,-8.850949764252,,,,,-11.505349636078
4.505,,,,,-0.916572068260,,,,,-0.248952425552,,,,,-1.351892655109,,,,,-2.434498368451,,,,,-2.900222996222,,,,,-4.358813306019,,,,,-5.677528080237,,,,,-2.019999980927,,,,,-7.430649757385,,,,,-5.499499320984,,,,,-9.925449848175,,,,,-7.819001197815,,,,,0.000000000000,,,,,-8.852749824524,,,,,-11.508349418640
4.598,-0.890643885217,0.891125088594,-0.916658413018,-0.835938063711,,-0.241375660324,0.241521962032,-0.248952425552,-0.225757947249,,-1.314216528540,1.314869331295,-1.352015732547,-1.236405930571,,-2.365190848382,2.366339664025,-2.434498368451,-2.226722980206,,-2.822057665515,2.823388073989,-2.901891926276,-2.669955927116,,-4.236591039011,4.238663812919,-4.358960982322,-4.001255401656,,-5.518913844081,5.521534273085,-5.677528080237,-5.219116784930,,-1.958522081375,1.959709167480,-2.019999980927,-1.831799983978,,-7.220449924469,7.224350929260,-7.431349754333,-6.776949882507,,-5.346232891083,5.348888397217,-5.500000000000,-5.029699325562,,-9.642883300781,9.647566795349,-9.925449848175,-9.078349590302,,-7.608267307281,7.611854076385,-7.823500633240,-7.198201179504,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-8.604516029358,8.608726501465,-8.853049755096,-8.126549720764,,-11.186838150024,11.192150115967,-11.508349418640,-10.579149723053,
